file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
202519.pdf,202,ok,231532,Mac OS X 10.4.8 Quartz PDFContext,Word,2006-11-06,0,,,False,True,True,0,0,0,0
202520.pdf,202,ok,46667,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2004-11-30,0,,,False,True,True,0,0,0,0
202522.pdf,202,ok,386944,GPL Ghostscript 8.61,PDFCreator Version 0.9.5,2009-02-18,20,19,,False,False,True,0,0,0,0
202525.pdf,202,ok,642041,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2,2007-11-01,1,4,,False,True,True,0,0,0,0
202526.pdf,202,ok,32658,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2003-06-25,0,,,False,True,True,0,0,0,0
202527.pdf,202,ok,213218,Acrobat PDFWriter 3.03 for Windows,Acrobat Capture Server 2.01,,0,,,False,True,True,0,0,0,0
202528.pdf,202,ok,21826,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2007-05-23,3,658,,False,True,True,0,2,0,2
202529.pdf,202,ok,284846,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2004-11-30,1,1,,False,True,True,0,0,0,0
202531.pdf,202,ok,27310,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2,2005-01-26,0,,,False,True,True,0,0,0,0
202532.pdf,202,ok,968247,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for PowerPoint,2008-04-03,0,,,False,True,True,0,0,0,0
202533.pdf,202,ok,10536,Acrobat PDFWriter 5.0 for Windows NT,WordPerfect 9 - [C:\Documents and Settings\Frank Baker\My Documents\CMECF Training Manuals\scanningguidelines.wpd (unmodified)],2002-10-29,0,,,False,True,True,0,0,0,0
202534.pdf,202,ok,108984,Acrobat Distiller 5.0 (Windows),Acrobat PDFMaker 5.0 for Word,2004-07-15,1,3,,False,True,True,0,0,0,0
202535.pdf,202,ok,119717,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2002-05-08,0,,,False,True,True,0,0,0,0
202536.pdf,202,ok,364951,Acrobat Distiller 4.05 for Windows,,2002-04-06,0,,,False,True,True,0,0,0,0
202538.pdf,202,ok,11719849,,,,0,,,False,False,True,0,0,0,0
202774.pdf,202,ok,1468629,Acrobat Distiller 7.0.5 (Windows),,2008-01-10,26,1,,False,True,True,0,0,0,0
202775.pdf,202,ok,1227114,GNU Ghostscript 7.07,,,1,,,False,False,True,0,0,0,0
202776.pdf,202,ok,112892,Acrobat Distiller 4.05 for Windows,,2001-05-22,0,,,False,True,True,0,0,0,0
202777.pdf,202,ok,617715,Adobe PDF Library 8.0,Adobe InDesign CS3 (5.0.2),2008-05-12,0,,,False,False,True,0,0,0,0
202778.pdf,202,ok,1773294,Acrobat Distiller 5.0 (Windows),3B2 Total Publishing System 7.51c/W,2003-07-31,0,,,False,True,True,0,0,0,0
202779.pdf,202,ok,1364703,Acrobat Distiller 8.1.0 (Macintosh),Word: cgpdftops CUPS filter,2008-07-23,0,,,False,True,True,0,0,0,0
202780.pdf,202,ok,106208,Acrobat Distiller Command 2.1 for SunOS/Solaris (SPARC),,1997-04-16,0,,,False,True,True,0,0,0,0
202781.pdf,202,ok,59658,Acrobat Distiller 7.0 (Windows),PScript5.dll Version 5.2,2005-08-17,21,1603,,False,True,True,0,2,0,2
202783.pdf,202,ok,305079,Acrobat Distiller 5.0.5 (Windows),Acrobat PDFMaker 5.0 for Word,2003-04-04,3,3,,False,True,True,0,0,0,0
202784.pdf,202,ok,229746,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-10-26,3,665,,False,True,True,0,2,0,2
202785.pdf,202,ok,175361,dvips + AFPL Ghostscript CVS PRE-RELEASE 8.01,LaTeX with hyperref package,2003-08-03,2,0,,False,False,True,0,0,0,0
202786.pdf,202,ok,27017,GNU Ghostscript 7.07,,,11,,,False,False,True,0,0,0,0
202787.pdf,202,ok,45937,Acrobat Distiller 3.01 for Power Macintosh,Microsoft Word: LaserWriter 8 8.4.2,1998-03-18,0,,,False,True,True,0,0,0,0
202788.pdf,202,ok,50695,Acrobat Distiller 3.01 for Windows,Windows NT 4.0,,0,,,False,True,True,0,0,0,0
202789.pdf,202,ok,1209926,AFPL Ghostscript 8.11,PScript5.dll Version 5.2.2,2006-02-16,0,,,False,False,True,0,0,0,0
202790.pdf,202,ok,85371,pdfTeX-1.11b,TeX,2004-04-28,1,15,,False,False,True,0,0,0,0
202791.pdf,202,ok,1519467,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-08-20,1,0,,False,True,True,0,0,0,0
202792.pdf,202,ok,1372568,Mac OS X 10.4.6 Quartz PDFContext,PowerPoint,2006-06-15,0,,,False,False,True,0,0,0,0
202874.pdf,202,ok,12669,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2.2,2005-03-11,3,1,letter:to whom it may concern,True,True,True,2,0,1,3
202894.pdf,202,ok,764704,Adobe PDF Library 7.0,Adobe InDesign CS2 (4.0.2),2006-03-14,0,,,False,False,True,0,0,0,0
334333.pdf,334,ok,660799,Acrobat PDFWriter 5.0 for Windows NT,Microlithography2004Paper.doc - Microsoft Word,2004-01-26,0,,,False,True,True,0,0,0,0
334335.pdf,334,ok,50392,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-08-21,2,3795,,False,True,True,0,2,0,2
334336.pdf,334,ok,949830,Acrobat PDFWriter 4.0 for Windows,Microsoft PowerPoint ,1999-12-03,0,,,False,True,True,0,0,0,0
