producer,files,share_%
Mac OS X 10.6.7 Quartz PDFContext,1470,0.0185
Acrobat PDFWriter 3.02 for Windows,1467,0.0185
PDFCreator 2.5.3.6324,1462,0.0184
macOS Version 11.2.2 (Build 20D80) Quartz PDFContext,1461,0.0184
PDFCreator 3.3.2.3528,1456,0.0184
mPDF 5.4,1454,0.0183
PDFCreator 2.2.1.0,1453,0.0183
Acrobat Distiller 9.5.3 (Windows),1452,0.0183
PDF::API2 2.033 [linux],1450,0.0183
PFU PDF Library 1.3.1,1449,0.0183
Corel PDF Engine Version 20.1.0.708,1449,0.0183
Acrobat Distiller 10.1.7 (Windows),1445,0.0182
Adobe PDF Library 15.0; modified using iText® 5.3.5 ©2000-2012 1T3XT BVBA (SPRIN,1439,0.0181
Mac OS X 10.12.4 Quartz PDFContext,1435,0.0181
Acrobat Distiller 6.0.0 for Macintosh,1434,0.0181
Foxit PhantomPDF Printer Version 6.0.4.1129,1433,0.0181
macOS Version 10.15.2 (Build 19C57) Quartz PDFContext,1431,0.018
macOS Version 10.14.2 (Build 18C54) Quartz PDFContext,1430,0.018
Microsoft® Word til Office 365,1427,0.018
Adobe Acrobat 8.0,1426,0.018
Adobe Acrobat 9.3.1 Image Conversion Plug-in,1425,0.018
LibreOffice 4.4,1424,0.018
OpenOffice.org 2.4,1423,0.0179
KONICA MINOLTA bizhub C364e,1422,0.0179
macOS Version 10.14.4 (Build 18E226) Quartz PDFContext,1421,0.0179
Mac OS X 10.6.4 Quartz PDFContext,1418,0.0179
