file,thread,status,bytes,producer,creator,creation_date,n_printed_dates,min_gap_days,cues_hit,institutional,desktop,unsigned,sig_A,sig_B,sig_C,score
033700.pdf,033,ok,26984,Acrobat Net Distiller 1.0 for Windows,,2000-04-27,9,1939,,False,True,True,0,2,0,2
033702.pdf,033,ok,112062,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2005-03-02,3,189,,False,True,True,0,2,0,2
033707.pdf,033,ok,79782,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2004-11-17,4,3678,,False,True,True,0,2,0,2
038350.pdf,038,ok,80769,Acrobat Distiller 5.0 (Windows),PScript5.dll Version 5.2.2,2007-04-01,1,2617,,False,True,True,0,2,0,2
038368.pdf,038,ok,379823,Acrobat PDFWriter 2.01 for Windows,C:\DATA\HT\HEAR\GI102395.WPD,1996-06-17,3,239,,False,True,True,0,2,0,2
038375.pdf,038,ok,69532,Acrobat Distiller 4.0 for Windows,,2002-03-22,33,130,,False,True,True,0,2,0,2
038402.pdf,038,ok,45407,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-11-03,1,62,,False,True,True,0,2,0,2
038404.pdf,038,ok,221995,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2005-01-10,5,284,,False,True,True,0,2,0,2
038447.pdf,038,ok,542216,Corel PDF Engine Version 9.395,POP90,2002-07-01,2,746,,False,False,True,0,2,0,2
038505.pdf,038,ok,702736,Acrobat PDFWriter 4.05 for Windows,Microsoft PowerPoint ,2002-04-23,1,176,,False,True,True,0,2,0,2
038507.pdf,038,ok,594761,Acrobat PDFWriter 4.05 for Windows NT,Final Report.doc - Microsoft Word,2002-09-16,1,378,,False,True,True,0,2,0,2
038449.pdf,038,ok,1289571,Acrobat Distiller 5.00 for Macintosh,FrameMaker+SGML 5.5 PowerPC: LaserWriter 8 8.7,2001-08-02,1,87,,False,True,True,0,2,0,2
038450.pdf,038,ok,324720,Acrobat PDFWriter 5.0 for Windows NT,Corel WordPerfect - [A:\01027WOR.WP],2002-02-05,1,467,,False,True,True,0,2,0,2
038458.pdf,038,ok,54098,Acrobat Distiller 6.0 (Windows),PScript5.dll Version 5.2,2006-11-17,16,788,,False,True,True,0,2,0,2
038460.pdf,038,ok,70379,,XPP,2003-03-13,18,81,,False,False,True,0,2,0,2
038461.pdf,038,ok,185762,www.adlibsoftware.com:EXS3181-Windows 2003:TNG,MS Office Data (Ole & BIFF),2007-12-03,3,830,,False,False,True,0,2,0,2
038465.pdf,038,ok,144506,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.5 for Word,2006-11-09,1,294,,False,True,True,0,2,0,2
038466.pdf,038,ok,137248,Acrobat Distiller 6.0.1 for Macintosh,Adobe InDesign CS (3.0.1),2007-10-25,2,3265,,False,True,True,0,2,0,2
038467.pdf,038,ok,96613,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-06-03,1,1105,,False,True,True,0,2,0,2
038468.pdf,038,ok,121374,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-12-04,1,1289,,False,True,True,0,2,0,2
038490.pdf,038,ok,127202,Acrobat Net Distiller 1.0 for Windows,,1999-12-28,30,1148,,False,True,True,0,2,0,2
038522.pdf,038,ok,356142,,XPP,2002-05-22,4,90,,False,False,True,0,2,0,2
038526.pdf,038,ok,153082,Acrobat Distiller 4.0 for Windows,,2000-09-12,4,127,,False,True,True,0,2,0,2
038530.pdf,038,ok,391939,Acrobat Distiller 8.1.0 (Windows),Acrobat PDFMaker 8.1 for Word,2008-08-12,1,247,,False,True,True,0,2,0,2
038533.pdf,038,ok,214494,Acrobat Distiller 7.0.5 (Windows),PScript5.dll Version 5.2.2,2006-06-29,40,206,,False,True,True,0,2,0,2
038616.pdf,038,ok,54344,Corel PDF Engine Version 11.4.0.100,PrintServer130,2007-11-02,8,185,,False,False,True,0,2,0,2
038617.pdf,038,ok,47583,Acrobat Distiller 4.0 for Windows,,2003-03-06,2,413,,False,True,True,0,2,0,2
038619.pdf,038,ok,431071,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2007-11-30,1,122,,False,True,True,0,2,0,2
038620.pdf,038,ok,533853,Acrobat Distiller 5.0 (Windows),Acrobat PDFMaker 5.0 for Word,2004-03-03,1,51,,False,True,True,0,2,0,2
038621.pdf,038,ok,151448,Corel PDF Engine Version 9.320,POP90,2003-08-04,12,377,,False,False,True,0,2,0,2
038724.pdf,038,ok,189001,Acrobat Distiller 7.0.5 (Windows),Acrobat PDFMaker 7.0.7 for Word,2007-10-23,2,155,,False,True,True,0,2,0,2
038727.pdf,038,ok,853505,Adobe PDF library 8.00,Adobe Illustrator CS3,2008-09-19,2,757,,False,False,True,0,2,0,2
038785.pdf,038,ok,368023,Acrobat PDFWriter 2.01 for Windows,zxq82e0.tmp,1997-08-12,1,1770,,False,True,True,0,2,0,2
038786.pdf,038,ok,147199,Acrobat Distiller 6.0.1 (Windows),PScript5.dll Version 5.2,2004-06-22,4,113,,False,True,True,0,2,0,2
038787.pdf,038,ok,692769,Acrobat PDFWriter 2.01 for Windows,xijf0c0.tmp,1997-07-09,5,122,,False,True,True,0,2,0,2
038622.pdf,038,ok,82280,Corel PDF Engine Version 11.410,Print Server 110,2006-01-12,10,86,,False,False,True,0,2,0,2
038632.pdf,038,ok,1679807,Acrobat Distiller 7.0 (Windows),Adobe Illustrator CS2,2008-01-31,2,60,,False,True,True,0,2,0,2
038640.pdf,038,ok,2959003,Acrobat Distiller 5.0.5 (Windows),Adobe PageMaker 7.0,2007-10-29,2,66,,False,True,True,0,2,0,2
038642.pdf,038,ok,1247120,Mac OS X 10.4.11 Quartz PDFContext,,2008-08-29,1,219,,False,False,True,0,2,0,2
038643.pdf,038,ok,241526,Adobe PDF Library 6.0,Adobe InDesign CS (3.0),2007-04-18,1,256,,False,False,True,0,2,0,2
038644.pdf,038,ok,75906,Acrobat Distiller Daemon 3.02b for Solaris 2.3 and later (SPARC),Parlance Publisher 5.0/(Xyvision Postscript Formatter) 3.0 3,2000-08-08,2,79,,False,True,True,0,2,0,2
038645.pdf,038,ok,1010879,,XPP,2005-05-11,3,50,,False,False,True,0,2,0,2
038868.pdf,038,ok,489796,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2006-09-15,1,120,,False,True,True,0,2,0,2
038873.pdf,038,ok,220110,Acrobat Distiller 8.0.0 (Windows),Acrobat PDFMaker 8.0 for Word,2008-09-19,1,460,,False,True,True,0,2,0,2
038908.pdf,038,ok,1168183,Acrobat Distiller 5.0.5 (Windows),AdobePS5.dll Version 5.2,2003-03-14,1,373,,False,True,True,0,2,0,2
038910.pdf,038,ok,507060,Acrobat Distiller 8.1.0 (Windows),PScript5.dll Version 5.2.2,2008-07-23,1,6468,,False,True,True,0,2,0,2
038807.pdf,038,ok,23499,Acrobat Distiller 4.05 for Windows,Microsoft Word 8.0,2001-05-24,2,549,,False,True,True,0,2,0,2
038808.pdf,038,ok,26543,Acrobat Distiller 6.0.1 (Windows),Acrobat PDFMaker 6.0 for Word,2005-09-19,1,396,,False,True,True,0,2,0,2
038819.pdf,038,ok,246860,Acrobat Distiller 5.0 (Windows),AdobePS5.dll Version 5.2,2005-05-11,3,916,,False,True,True,0,2,0,2
038820.pdf,038,ok,75050,Acrobat PDFWriter 4.05 for Windows,Microsoft Word ,2000-11-06,6,153,,False,True,True,0,2,0,2
038822.pdf,038,ok,393732,Acrobat Distiller 5.0 (Windows),ADOBEPS4.DRV Version 4.50,2002-03-20,10,280,,False,True,True,0,2,0,2
038823.pdf,038,ok,447853,Acrobat Distiller 4.0 for Windows,,2000-03-02,2,1888,,False,True,True,0,2,0,2
038824.pdf,038,ok,1249990,Acrobat Distiller 6.0 (Windows),Acrobat PDFMaker 6.0 for Word,2006-01-20,3,673,,False,True,True,0,2,0,2
